,artists,track_name,totalstreams,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity,follower
68,XXXTENTACION,MOONLIGHT,431568186,135090.0,0,0.921,0.537,9.0,-5.723,0.0,0.0804,0.556,0.00404,0.102,0.711,128.009,4.0,89,40355881
69,XXXTENTACION,MOONLIGHT,431568186,135090.0,0,0.921,0.537,9.0,-5.723,0.0,0.0804,0.556,0.00404,0.102,0.711,128.009,4.0,89,40355881
70,XXXTENTACION,MOONLIGHT,431568186,135090.0,0,0.921,0.537,9.0,-5.723,0.0,0.0804,0.556,0.00404,0.102,0.711,128.009,4.0,89,40355881
71,XXXTENTACION,EVERYBODYDIESINTHEIRNIGHTMARES,238214306,95466.0,0,0.734,0.57,7.0,-7.066,0.0,0.133,0.847,2.14e-05,0.112,0.689,129.953,4.0,89,40355881
72,XXXTENTACION,EVERYBODYDIESINTHEIRNIGHTMARES,238214306,95466.0,0,0.734,0.57,7.0,-7.066,0.0,0.133,0.847,2.14e-05,0.112,0.689,129.953,4.0,89,40355881
73,XXXTENTACION,CHANGES,225063813,121886.0,0,0.669,0.308,11.0,-10.068,1.0,0.029,0.883,0.0,0.0984,0.52,64.934,4.0,89,40355881
74,XXXTENTACION,CHANGES,225063813,121886.0,0,0.669,0.308,11.0,-10.069,1.0,0.029,0.883,0.0,0.0984,0.52,64.936,4.0,89,40355881
75,XXXTENTACION,CHANGES,225063813,121886.0,0,0.669,0.308,11.0,-10.068,1.0,0.029,0.883,0.0,0.0984,0.52,64.934,4.0,89,40355881
76,XXXTENTACION,LOOKATME!,218130170,126345.0,0,0.763,0.726,1.0,-6.405,1.0,0.282,0.259,0.0,0.0976,0.349,139.059,4.0,89,40355881
77,XXXTENTACION,LOOKATME!,218130170,126345.0,0,0.763,0.726,1.0,-6.405,1.0,0.282,0.259,0.0,0.0976,0.349,139.059,4.0,89,40355881
78,XXXTENTACION,LOOKATME!,218130170,139311.0,0,0.735,0.58,1.0,-6.478,1.0,0.341,0.0372,0.0,0.153,0.253,139.065,4.0,89,40355881
79,XXXTENTACION,LOOKATME!,218130170,126345.0,0,0.763,0.726,1.0,-6.405,1.0,0.282,0.259,0.0,0.0976,0.349,139.059,4.0,89,40355881
80,XXXTENTACION,REVENGE,120698497,120026.0,0,0.746,0.251,11.0,-16.169,0.0,0.259,0.782,0.00203,0.106,0.18,139.999,4.0,89,40355881
81,XXXTENTACION,REVENGE,120698497,120058.0,0,0.708,0.235,11.0,-16.156,0.0,0.318,0.772,0.00238,0.103,0.169,139.998,4.0,89,40355881
82,XXXTENTACION,HOPE,102329254,110886.0,0,0.592,0.457,9.0,-6.081,0.0,0.0603,0.661,0.000331,0.146,0.225,146.04,4.0,89,40355881
83,XXXTENTACION,HOPE,102329254,110886.0,0,0.598,0.457,9.0,-6.081,0.0,0.0602,0.661,0.000331,0.146,0.225,146.052,4.0,89,40355881
84,XXXTENTACION,HOPE,102329254,110886.0,0,0.592,0.457,9.0,-6.081,0.0,0.0603,0.661,0.000331,0.146,0.225,146.04,4.0,89,40355881
85,XXXTENTACION,HOPE,102329254,110886.0,0,0.592,0.457,9.0,-6.081,0.0,0.0603,0.661,0.000331,0.146,0.225,146.04,4.0,89,40355881
86,XXXTENTACION,THEREMEDYFORABROKENHEART(WHYAMISOINLOVE),99380590,160184.0,0,0.699,0.304,1.0,-11.192,1.0,0.0993,0.779,0.000993,0.137,0.271,119.705,4.0,89,40355881
87,XXXTENTACION,THEREMEDYFORABROKENHEART(WHYAMISOINLOVE),99380590,160184.0,0,0.699,0.304,1.0,-11.192,1.0,0.0993,0.779,0.000993,0.137,0.271,119.705,4.0,89,40355881
88,XXXTENTACION,THEREMEDYFORABROKENHEART(WHYAMISOINLOVE),99380590,160184.0,0,0.699,0.304,1.0,-11.192,1.0,0.0993,0.779,0.000993,0.137,0.271,119.705,4.0,89,40355881
89,XXXTENTACION,BAD!,84596862,94245.0,0,0.78,0.492,5.0,-3.4,0.0,0.0671,0.0643,0.0313,0.174,0.374,143.983,4.0,89,40355881
90,XXXTENTACION,BAD!,84596862,94245.0,0,0.78,0.492,5.0,-3.4,0.0,0.0671,0.0643,0.0313,0.174,0.374,143.983,4.0,89,40355881
91,XXXTENTACION,NUMB,47260044,186267.0,0,0.414,0.416,11.0,-8.024,0.0,0.0251,0.1,0.179,0.131,0.196,159.91,4.0,89,40355881
92,XXXTENTACION,NUMB,47260044,186267.0,0,0.414,0.416,11.0,-8.024,0.0,0.0251,0.1,0.179,0.131,0.196,159.91,4.0,89,40355881
93,XXXTENTACION,CARRYON,25904909,129720.0,0,0.735,0.197,3.0,-13.378,0.0,0.537,0.768,0.000276,0.296,0.383,147.899,4.0,89,40355881
94,XXXTENTACION,GOINGDOWN!,15959001,115194.0,0,0.873,0.663,1.0,-4.086,1.0,0.15,0.0216,0.000356,0.0867,0.525,135.499,4.0,89,40355881
95,XXXTENTACION,SAUCE!,15852621,144724.0,0,0.68,0.313,3.0,-13.672,0.0,0.0347,0.582,0.0,0.19,0.405,135.034,4.0,89,40355881
96,XXXTENTACION,DEPRESSION&OBSESSION,15246543,144733.0,0,0.769,0.156,11.0,-10.7,0.0,0.035,0.585,0.015,0.102,0.527,105.95,4.0,89,40355881
97,XXXTENTACION,IDON'TWANNADOTHISANYMORE,14807142,87560.0,0,0.433,0.778,4.0,-7.681,1.0,0.041,0.843,0.0,0.139,0.764,114.208,4.0,89,40355881
98,XXXTENTACION,SAVEME,10541076,163201.0,0,0.731,0.204,9.0,-11.314,0.0,0.0369,0.307,0.0109,0.0989,0.191,142.141,4.0,89,40355881
99,XXXTENTACION,GUARDIANANGEL,8721629,108034.0,0,0.712,0.374,0.0,-10.215,0.0,0.511,0.795,0.0,0.187,0.779,133.952,4.0,89,40355881
100,XXXTENTACION,IDON’TLETGO,8241320,121630.0,0,0.797,0.293,5.0,-7.479,1.0,0.08,0.591,0.0724,0.148,0.478,80.035,4.0,89,40355881
101,XXXTENTACION,"ALONE,PART3",7697606,109986.0,0,0.61,0.258,0.0,-12.758,1.0,0.0331,0.883,0.0145,0.103,0.164,127.08,4.0,89,40355881
102,XXXTENTACION,WHATAREYOUSOAFRAIDOF,6260266,150769.0,0,0.639,0.312,0.0,-9.902,1.0,0.0301,0.774,0.469,0.0857,0.347,103.369,4.0,89,40355881
103,XXXTENTACION,TRAINFOOD,5756320,164082.0,0,0.492,0.712,9.0,-7.278,0.0,0.691,0.564,9.1e-05,0.357,0.23,137.453,3.0,89,40355881
104,XXXTENTACION,FLOOR555,5277348,93447.0,0,0.695,0.686,9.0,-8.147,0.0,0.0478,0.000424,0.0023,0.365,0.354,105.219,4.0,89,40355881
105,XXXTENTACION,STARINGATTHESKY,5102477,85123.0,0,0.557,0.338,5.0,-9.892,1.0,0.0257,0.134,0.00184,0.14,0.689,140.935,4.0,89,40355881
106,XXXTENTACION,AYALA(OUTRO),4072191,99706.0,0,0.57,0.285,9.0,-14.125,0.0,0.0381,0.737,0.0133,0.108,0.0973,83.485,4.0,89,40355881
107,XXXTENTACION,LOVEYOURSELF(INTERLUDE),3593441,48422.0,0,0.746,0.338,11.0,-13.472,0.0,0.109,0.674,0.000375,0.529,0.469,120.053,4.0,89,40355881
108,XXXTENTACION,SCHIZOPHRENIA,2732712,80190.0,0,0.606,0.349,2.0,-10.032,1.0,0.198,0.0762,0.0711,0.1,0.239,180.055,4.0,89,40355881
109,XXXTENTACION,VICECITY,2707098,220708.0,0,0.853,0.467,9.0,-6.843,0.0,0.195,0.00596,0.00171,0.203,0.329,87.023,4.0,89,40355881
110,XXXTENTACION,VICECITY,2707098,220773.0,0,0.854,0.467,9.0,-6.843,0.0,0.191,0.00596,0.00171,0.204,0.33,87.02,4.0,89,40355881
111,XXXTENTACION,EXBITCH,2567221,121671.0,0,0.835,0.462,7.0,-6.227,1.0,0.155,0.513,0.0,0.0875,0.702,78.99,4.0,89,40355881
112,XXXTENTACION,EXBITCH,2567221,121671.0,0,0.835,0.462,7.0,-6.227,1.0,0.155,0.513,0.0,0.0875,0.702,78.99,4.0,89,40355881
