,artists,popularity,follower
512,Cafuné,69,137715
513,EnriqueIglesias,78,11077478
514,DJDiddy,42,50254
515,JonathanGroff,65,103656
516,PhoebeBridgers,81,1587938
517,UnknownArtist,42,3228
518,NaughtyBoy,64,327933
519,Ludacris,78,2522962
520,Stormzy,76,2694544
521,KellyClarkson,77,9515116
522,KingVon,78,2622174
523,DonMcLean,65,837565
524,LeightonMeester,53,110322
525,LinkinPark,86,22644084
526,JORDY23,0,1591
527,Southside,59,81267
528,EmpireoftheSun,72,1252766
529,RitaOra,75,7913331
530,Giveon,81,2788229
531,RAC,63,160095
532,AvrilLavigne,78,9555330
533,ChrisYoung,69,2699350
534,R.Kelly,69,2497567
535,XXXTENTACION,89,40355881
536,AThousandHorses,43,72686
537,SOBXRBE,57,548767
538,TheGame,75,4423103
539,TionWayne,73,765294
540,ArminvanBuuren,76,4195735
541,IsaiahFirebrace,51,53683
542,MacDeMarco,83,3558915
543,JoeLew,25,426
544,Iron&Wine,65,1045271
545,MoxieRaia,40,19711
546,MrEazi,67,1041425
547,JohnDenver,70,1772518
548,Ledinsky,23,1916
549,PARTYNEXTDOOR,80,4719243
550,JarrydJames,47,110152
551,siouxxiesixxsta,61,172459
552,KCAMP,63,1552405
553,Kygo,82,8279335
554,NickiMinaj,87,27363454
555,Tritonal,58,224722
556,HaileeSteinfeld,73,8415125
557,ThirtySecondsToMars,69,3284755
558,Fredagain..,80,571840
559,Wale,72,3945715
560,DJDurel,34,5822
561,TheBardenBellas,58,159168
562,LESSERAFIM,79,1548314
563,BURNS,58,35552
564,TheChainsmokers,82,19909473
565,NLEChoppa,81,5762320
566,ChaseRice,65,1075892
567,Starley,58,189903
568,Macklemore,79,1991037
569,TVOnTheRadio,58,575149
570,PixelHood,44,645
571,OttoKnows,62,392708
572,BustaRhymes,73,2320881
573,DeanLewis,80,2422324
574,DimitriVegas&LikeMike,72,3316040
575,KaceyMusgraves,71,1199229
576,Glades,48,82356
577,PlayboiCarti,85,7628862
578,Maluma,86,33211344
579,BeachHouse,76,1770870
580,TaylerBuono,34,15496
581,MAGIC!,68,1299104
582,PerryComo,66,451690
583,Simon&Garfunkel,74,4473690
584,Lauv,78,5574636
585,KIDSSEEGHOSTS,63,905630
586,$NOT,75,1284733
587,KAROLG,88,32132514
588,MyChemicalRomance,79,7415989
589,TheNeighbourhood,86,11629399
590,NeonTrees,67,1211145
591,LouisArmstrong,72,2619002
592,SkylarGrey,70,558525
593,ElectricLightOrchestra,73,3615802
594,Portugal.TheMan,67,1354623
595,ElyOtto,59,115346
596,Nico&Vinz,64,507993
597,JennyDon'tAndTheSpurs,25,3257
598,MeatLoaf,66,990259
599,RyanHurd,62,221283
600,FivioForeign,73,1077952
601,DVBBS,66,1025735
602,yeahyeahyeah,47,2536
603,Wizkid,79,3296029
604,Destiny'sChild,73,6142553
605,RufusWainwright,60,301339
606,FrankSinatra,80,6077722
607,CateyShaw,40,21706
608,AndyWilliams,69,472513
609,LeonBridges,74,1495301
610,RomeoSantos,85,17663375
611,Tiësto,87,6724593
612,LeonaLewis,69,3458237
613,Latto,73,970337
614,Nevada,49,14948
615,LilNasX,83,12283865
616,Aerosmith,79,13129965
617,NOTD,68,260281
618,Pitbull,84,9833677
619,Redfoo,53,402516
620,Dreezy,55,688017
621,BabyKeem,81,1324121
622,SleepingAtLast,71,1323238
623,RainbowKittenSurprise,72,874803
624,MeganTheeStallion,81,7478835
625,AustinMahone,61,2027332
626,Grey,68,70861
627,Netsky,60,444477
628,WillPaquin,61,87457
629,MiikeSnow,58,620840
630,JohnMayer,80,5766993
631,ThomasRhett,75,4383245
632,ChristinaAguilera,80,7394427
633,LukeCombs,84,7928778
634,CapitalCities,68,833012
