,artists,track_name,totalstreams,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3087,LINKINPARK,PAPERCUT,817527,184866.0,0,0.524,0.939,9.0,-3.994,1.0,0.113,0.00022,0.0,0.623,0.661,150.184,4.0
3088,COMMODORES,EASY,814411,256545.0,0,0.568,0.575,10.0,-7.769,0.0,0.029,0.126,0.0001,0.114,0.333,133.093,4.0
3089,COMMODORES,EASY,814411,256426.0,0,0.589,0.384,10.0,-15.075,0.0,0.0332,0.112,2.8e-05,0.0596,0.354,132.909,4.0
3090,COMMODORES,EASY,814411,260893.0,0,0.576,0.432,10.0,-13.642,0.0,0.0314,0.233,0.00135,0.0743,0.348,132.144,4.0
3091,COMMODORES,EASY,814411,256545.0,0,0.568,0.575,10.0,-7.769,0.0,0.029,0.126,0.0001,0.114,0.333,133.093,4.0
3092,COMMODORES,EASY,814411,256545.0,0,0.568,0.575,10.0,-7.769,0.0,0.029,0.126,0.0001,0.114,0.333,133.093,4.0
3093,COMMODORES,EASY,814411,256426.0,0,0.589,0.384,10.0,-15.075,0.0,0.0332,0.112,2.8e-05,0.0596,0.354,132.909,4.0
3094,BTS,BORNSINGER,807290,238628.0,0,0.602,0.841,8.0,-3.334,0.0,0.109,0.0354,0.0,0.235,0.684,157.937,4.0
3095,ONEDIRECTION,WHATMAKESYOUBEAUTIFUL,805896,199986.0,0,0.726,0.787,4.0,-2.494,1.0,0.0737,0.009,0.0,0.0596,0.888,124.99,4.0
3096,LINKINPARK,SOMEWHEREIBELONG,801056,213933.0,0,0.451,0.951,1.0,-3.754,1.0,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,4.0
3097,LINKINPARK,SOMEWHEREIBELONG,801056,213933.0,0,0.451,0.951,1.0,-3.754,1.0,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,4.0
3098,LINKINPARK,SOMEWHEREIBELONG,801056,213933.0,0,0.451,0.951,1.0,-3.754,1.0,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,4.0
3099,LINKINPARK,SOMEWHEREIBELONG,801056,213933.0,0,0.451,0.951,1.0,-3.754,1.0,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,4.0
3100,LINKINPARK,SOMEWHEREIBELONG,801056,213933.0,0,0.451,0.951,1.0,-3.754,1.0,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,4.0
3101,AC/DC,YOUSHOOKMEALLNIGHTLONG,798705,210173.0,0,0.532,0.767,7.0,-5.509,1.0,0.0574,0.00287,0.000513,0.39,0.755,127.361,4.0
3102,AC/DC,YOUSHOOKMEALLNIGHTLONG,798705,210880.0,0,0.529,0.768,7.0,-5.51,1.0,0.0566,0.00224,0.00075,0.297,0.769,127.316,4.0
3103,THOMASRHETT,SLOWDOWNSUMMER,793238,216764.0,0,0.464,0.755,4.0,-5.707,1.0,0.0354,0.00838,0.0,0.0989,0.449,155.973,4.0
3104,MITSKI,NOBODY,793059,193429.0,0,0.398,0.717,0.0,-5.253,1.0,0.0398,0.07,0.0,0.085,0.487,117.296,4.0
3105,MITSKI,NOBODY,793059,193429.0,0,0.398,0.717,0.0,-5.253,1.0,0.0398,0.07,0.0,0.085,0.487,117.296,4.0
3106,BONIVER,SKINNYLOVE,792797,238520.0,0,0.592,0.263,4.0,-14.029,0.0,0.0568,0.845,5.68e-06,0.127,0.109,76.366,4.0
3107,LINKINPARK,FAINT,787907,162600.0,0,0.554,0.978,4.0,-3.554,1.0,0.131,0.111,0.0,0.0731,0.594,135.095,4.0
3108,LINKINPARK,FAINT,787907,162600.0,0,0.554,0.978,4.0,-3.554,1.0,0.131,0.111,0.0,0.0731,0.594,135.095,4.0
3109,LINKINPARK,FAINT,787907,162600.0,0,0.554,0.978,4.0,-3.554,1.0,0.131,0.111,0.0,0.0731,0.594,135.095,4.0
3110,LINKINPARK,FAINT,787907,162600.0,0,0.554,0.978,4.0,-3.554,1.0,0.131,0.111,0.0,0.0731,0.594,135.095,4.0
3111,LINKINPARK,FAINT,787907,162600.0,0,0.554,0.978,4.0,-3.554,1.0,0.131,0.111,0.0,0.0731,0.594,135.095,4.0
3112,LINKINPARK,FAINT,787907,162600.0,0,0.554,0.978,4.0,-3.554,1.0,0.131,0.111,0.0,0.0731,0.594,135.095,4.0
3113,KACEYMUSGRAVES,BUTTERFLIES,770729,219053.0,0,0.689,0.614,4.0,-6.137,0.0,0.0306,0.252,1.95e-05,0.178,0.411,141.97,4.0
3114,BTS,FORYOUTH,769634,264480.0,0,0.633,0.511,2.0,-5.665,1.0,0.0368,0.434,0.0,0.248,0.29,116.855,3.0
3115,LINKINPARK,BLEEDITOUT,768227,164760.0,0,0.542,0.932,4.0,-4.896,1.0,0.05,0.0747,0.0,0.613,0.698,140.135,4.0
3116,LINKINPARK,BLEEDITOUT,768227,164760.0,0,0.542,0.932,4.0,-4.896,1.0,0.05,0.0747,0.0,0.613,0.698,140.135,4.0
3117,LINKINPARK,BLEEDITOUT,768227,164457.0,0,0.515,0.957,4.0,-4.252,1.0,0.053,0.0948,0.0,0.599,0.596,139.999,4.0
3118,LINKINPARK,BLEEDITOUT,768227,164760.0,0,0.542,0.932,4.0,-4.896,1.0,0.05,0.0747,0.0,0.613,0.698,140.135,4.0
3119,JOHNMAYER,WHYYOUNOLOVEME,767809,255213.0,0,0.635,0.562,9.0,-7.315,1.0,0.0223,0.387,0.000366,0.113,0.501,97.988,4.0
3120,JOHNMAYER,WHYYOUNOLOVEME,767809,255213.0,0,0.635,0.562,9.0,-7.315,1.0,0.0223,0.387,0.000366,0.113,0.501,97.988,4.0
3121,BADBUNNY,SIESTUVIÉSEMOSJUNTOS,743920,169247.0,0,0.672,0.594,1.0,-6.813,0.0,0.0789,0.0626,5.14e-05,0.152,0.158,171.854,4.0
3122,BTS,EUPHORIA,742903,228615.0,0,0.637,0.799,2.0,-4.518,1.0,0.0338,0.394,0.0,0.0921,0.57,104.996,4.0
3123,BTS,EUPHORIA,742903,228615.0,0,0.635,0.79,2.0,-4.897,1.0,0.0336,0.404,0.0,0.0919,0.577,104.936,4.0
3124,BTS,EUPHORIA,742903,228615.0,0,0.637,0.799,2.0,-4.518,1.0,0.0338,0.394,0.0,0.0921,0.57,104.996,4.0
3125,BRYANADAMS,SUMMEROF'69,741660,216053.0,0,0.508,0.834,2.0,-6.205,1.0,0.0386,0.0183,0.0,0.0732,0.774,139.131,4.0
3126,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3127,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3128,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3129,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
